Index,new_id,BRET_corpus,GPE_keywords,LOC_keywords,subjectivity,sentiment
,0,"**火星之旅的新篇章**今天，美国科研机构 Space Technology Mission Directorate (STMD) officially 列入了 """"好奇号""""探测车的一期登陆计划，这是人类探测火星的第一个重大进步",美国,,0.0,0.0
,1,这个事件也迎来了当地时间1月22日的一周年,,,0.0,0.0
,2,"""""好奇号""""是一台全面的探测器，由美国科研机构 Space Technology Mission Directorate (STMD) 和 NASA 联合开发，旨在为人类获得直接观察到火星表面和内部的情况",美国,,0.0,0.0
,3,该车是以Space Shuttle as Launch Vehicle的最先进的飞行器，并且已经完成了多项测试和验收,,,0.0,0.0
,4,"""""好奇号""""的登陆计划正是 Space Technology Mission Directorate (STMD) 一期任务之一，它将在2025年初运载到火星并进入火星的轨道",,,0.0,0.0
,5,该车由 NASA 和 Space Technology Mission Directorate (STMD) 两大机构共同开发，由美国国家航空航天局 (NASA) 的负责人和 STMD 的负责人共同参与,,,0.0,0.0
,6,"**火星探测器的优势**""""好奇号""""探测车拥有多个关键优势，使其成为 humanity 第一步来直接观察到火星表面和内部的情况",,,0.0,0.0
,7,"其中包括:- 速度: Space Technology Mission Directorate (STMD) 一期任务的 """"好奇号""""探测车具有接近光速的速度，可以在短时间内穿越太阳，达到火星",,,0.0,0.0
,8,- 宽度: 它有一个直径为 4.9米的望远镜，可以提供火星表面的详细信息,,,0.0,0.0
,9,- 射程: 它可以从太阳到火星的射程是 12.5 million miles（20.1-million公里），这是人类进入太空和探测火星的第一步,,,0.0,0.0
,10,"**登陆计划**""""好奇号""""探测车将在2025年初运载到火星并进入火星的轨道",,,0.0,0.0
,11,该车将在火星的轨道中运载 spacecraft，使用其望远镜来观察火星表面和内部,,,0.0,0.0
,12,"Space Technology Mission Directorate (STMD) 一期任务的 """"好奇号""""探测车是人类第一步来直接观察到火星表面和内部的情况，它将为人类提供一个深刻的了解火星之旅",,,0.0,0.0
,13,**注**:本文稿由我（新闻记者）带来的新闻资料及分析组成,,,0.0,0.0
,14,**动物世界的一夫一妻制让科学家费解**近年来，科学家们在研究动物行为和社会结构方面取得了许多进展,,,0.0,0.0
,15,其中，最为人所知的之一就是动物一夫一妻制（monogamy），即每个动物只与一个同伴结好婚并生育 offspring,,,0.0,0.0
,16,在此系列的第一部分中，我们将探讨动物世界的一夫一妻制让科学家们如何费解,,,0.0,0.0
