Word,Probability,Topic
biden,0.014508204,1
administration,0.013931406,1
oil,0.011271323,1
drilling,0.010182348,1
alaska,0.009503161,1
power,0.009238034,1
company,0.008406086,1
bidens,0.007400129,1
energy,0.007048233,1
campaign,0.0060611777,1
exploration,0.005659571,1
joe,0.0055603012,1
project,0.0054687723,1
resource,0.005323703,1
travel,0.004820074,1
natural,0.0045026364,1
decision,0.0044104476,1
public,0.004388481,1
island,0.0042425417,1
environmental,0.0041881115,1
national,0.004177878,1
beer,0.0039508007,1
local,0.0038635344,1
summer,0.0037796185,1
neighbor,0.003681824,1
water,0.0036427402,1
mccarthy,0.003550374,1
secret,0.0034389123,1
action,0.0034291076,1
alaskan,0.0034204458,1
free,0.0034022692,1
concern,0.003369232,1
michael,0.0033326799,1
economic,0.0033083789,1
preservation,0.0032796669,1
hole,0.0031586653,1
gina,0.0031541823,1
effort,0.0030499327,1
geological,0.0030472472,1
balance,0.0030262424,1
likely,0.0029859317,1
community,0.002847638,1
traveler,0.0027716805,1
access,0.0027330217,1
essential,0.0026663146,1
tool,0.0025569762,1
pacific,0.002499954,1
security,0.0024217814,1
support,0.0023901202,1
bigram,0.0023786176,1
shutdown,0.0023784896,1
responsible,0.002366917,1
mining,0.0022715055,1
yous,0.0022183687,1
area,0.0022096927,1
future,0.0021905785,1
immediate,0.0021800818,1
president,0.0021471933,1
like,0.0019861616,1
volcanic,0.001985652,1
cuyler,0.0019854011,1
kaczman,0.001985391,1
recording,0.0019853774,1
executive,0.0019853706,1
block,0.001985335,1
advisor,0.0019846328,1
flight,0.001982168,1
trip,0.001970776,1
development,0.0019672592,1
experience,0.0019584617,1
past,0.0019031225,1
stance,0.0018927667,1
help,0.0018698741,1
available,0.0018532005,1
planning,0.0018215056,1
site,0.001817243,1
significant,0.001786178,1
industry,0.0017829703,1
balancing,0.0017670456,1
light,0.0017208179,1
offer,0.0017195212,1
necessary,0.0017106145,1
disaster,0.0016988466,1
unprecedented,0.0016781228,1
union,0.0016554407,1
medium,0.0016394195,1
storage,0.0015923758,1
language,0.0015923239,1
alcohol,0.0015919311,1
challenge,0.0015874688,1
ensure,0.0015781301,1
vacation,0.0015767767,1
deny,0.0015620406,1
despite,0.001556849,1
activity,0.0015403754,1
pride,0.0015236681,1
consideration,0.0015217375,1
refuge,0.0015007305,1
norm,0.0014857498,1
urgent,0.0014722699,1
