LOC_keywords,文本 2,分类,分类 2,pollution,文本 4,area,文本 5
Arctic,30,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic,
Asia Africa Latin America,96,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic,
The Arctic Sea Ice Hits,99,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic,
Siberian Arctic,129,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic,
New Arctic,131,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic,
North Pole,167,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic,
the Arctic Sea Ice,189,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic,
Arctic Circle,190,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic,
the Canadian Arctic Archipelago,208,北美,发达国家,无匹配标签,Canada,Arctic,
North Americas,220,北美,无匹配类别,无匹配标签,无匹配标签,Arctic,
the North Pole,286,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic,
the Arctic Circle,424,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic,
the North American Arctic,562,北美,无匹配类别,无匹配标签,America,Arctic,
Arctic Report Card: ‘Consistent,563,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic,
Alarming and Undeniable’ Dec,564,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic,
Southeastern Greenland,686,北美,最不发达国家,Most Vulnerable to Climate Change,无匹配标签,Arctic,
Arctic Report Card,772,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic,
Arctic Siberia,854,亚洲,无匹配类别,无匹配标签,无匹配标签,Arctic,
Arctic Refuge,874,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic,
the Arctic Refuge,876,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic,
Norwegian Arctic,877,无匹配类别,发达国家,无匹配标签,Norway,Arctic,
the Svalbard Archipelago,878,欧洲,无匹配类别,无匹配标签,Norway,Arctic,
Living Arctic,879,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic,
the Far North The Bogus Creek Fire,885,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic,
the Central Arctic,928,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic,
Polarstern,948,无匹配类别,无匹配类别,无匹配标签,,Arctic,
Central Arctic,1009,无匹配类别,无匹配类别,无匹配标签,,Arctic,
the Arctic Wildlife Refuge,1024,无匹配类别,无匹配类别,无匹配标签,,Arctic,
Ny-Alesund,1081,北极地区,无匹配类别,无匹配标签,,Arctic,
Yamal Peninsula,1098,无匹配类别,无匹配类别,无匹配标签,,Arctic,
the Northern Sea Route,1099,欧洲,无匹配类别,无匹配标签,,Arctic,
the North Sea Route,1100,欧洲,无匹配类别,无匹配标签,,Arctic,
Northern Sea Route,1101,无匹配类别,无匹配类别,无匹配标签,,Arctic,
Arctic National Wildlife Refuge,1141,北美,无匹配类别,无匹配标签,,Arctic,
the Polar Vortex’s,1146,无匹配类别,无匹配类别,无匹配标签,,Arctic,
the Arctic Report Card,1151,无匹配类别,无匹配类别,无匹配标签,,Arctic,
the Bering Strait,1177,北美,无匹配类别,无匹配标签,,Arctic,
Innaarsuit,1184,无匹配类别,无匹配类别,无匹配标签,,Arctic,
Charted Arctic Sea Ice,1192,无匹配类别,无匹配类别,无匹配标签,,Arctic,
The North Pole,1196,无匹配类别,无匹配类别,无匹配标签,,Arctic,
the “polar vortex,1236,无匹配类别,无匹配类别,无匹配标签,,Arctic,
Arctic Archipelago,1240,无匹配类别,无匹配类别,无匹配标签,,Arctic,
Canadian Arctic,1241,北美,发达国家,无匹配标签,,Arctic,
the Canadian Arctic,1259,北美,发达国家,无匹配标签,,Arctic,
Alaskan Arctic Refuge,1283,北美,无匹配类别,无匹配标签,,Arctic,
Arctic Sea Ice Keeps,1298,无匹配类别,无匹配类别,无匹配标签,,Arctic,
Arctic Drilling Fight,1301,无匹配类别,无匹配类别,无匹配标签,,Arctic,
Asia,8,亚洲,无匹配类别,无匹配标签,无匹配标签,Asia,
Everest,31,南亚,无匹配类别,无匹配标签,无匹配标签,Asia,
Mount Everest,32,南亚,无匹配类别,无匹配标签,无匹配标签,Asia,
South Asia,153,无匹配类别,无匹配类别,无匹配标签,India,Asia,
Asias Himalayas,201,亚洲,无匹配类别,无匹配标签,Asia,Asia,
Telek River,459,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Asia,
Central Asia,555,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Asia,
Trend Asia,587,东亚,无匹配类别,无匹配标签,无匹配标签,Asia,
the Tibetan Plateau,986,东亚,无匹配类别,无匹配标签,,Asia,
the Tibetan plateau,1205,东亚,无匹配类别,无匹配标签,,Asia,
Americas,10,北美,无匹配类别,无匹配标签,无匹配标签,North America,
North America,12,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Gulf Coast,15,北美,无匹配类别,无匹配标签,America,North America,
the Central Valley,22,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Stillwater,24,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Lake Erie,25,北美,无匹配类别,无匹配标签,America,North America,
Entry Island,36,大洋洲,无匹配类别,无匹配标签,无匹配标签,North America,
Grindstone Island,37,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Yucatn Peninsula,40,北美,发展中国家,无匹配标签,Mexico,North America,
West 57th,41,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Battery Park,42,北美,无匹配类别,无匹配标签,America,North America,
Death Valley,43,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Eastern Europe,48,欧洲,无匹配类别,无匹配标签,无匹配标签,North America,
Antarctica,54,南极洲,无匹配类别,无匹配标签,无匹配标签,North America,
Noor Solar Complexthe,59,北美,无匹配类别,无匹配标签,无匹配标签,North America,
West Coast,60,无匹配类别,无匹配类别,无匹配标签,America,North America,
Midwest,61,北美,发达国家,无匹配标签,无匹配标签,North America,
Michigans Upper Peninsula,62,北美,发达国家,无匹配标签,America,North America,
Latin Americas,64,南美,发展中国家,无匹配标签,无匹配标签,North America,
West Virginias,65,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Mountain Valley Pipeline,66,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Lake Meads,67,北美,无匹配类别,无匹配标签,无匹配标签,North America,
cache valley,69,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Colorado River,71,北美,无匹配类别,无匹配标签,America,North America,
Permian Basin,82,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Pershing,87,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the South Pacific Ocean,88,太平洋,无匹配类别,无匹配标签,无匹配标签,North America,
the Atlantic North America,89,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Chesapeake Bay,90,北美,无匹配类别,无匹配标签,America,North America,North America
Capitol Hill,91,北美,无匹配类别,无匹配标签,无匹配标签,North America,North America
brook creek,92,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,North America
Build Back,95,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Europe Helsinki,97,北美,无匹配类别,无匹配标签,Finland,North America,
the Gulf Coast,98,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Northern California,100,北美,无匹配类别,无匹配标签,America,North America,
Bristol Bay,101,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Paradise Valley,102,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Napa Valley,111,北美,无匹配类别,无匹配标签,America,North America,
Long Island,113,北美,无匹配类别,无匹配标签,America,North America,
North Slope,115,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Rio Grande Valley,128,北美,发展中国家,无匹配标签,America,North America,
Illinois Basin,134,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Gulf Shores Alabama,137,北美,无匹配类别,无匹配标签,America,North America,
Capitol Hill District,146,无匹配类别,无匹配类别,无匹配标签,America,North America,
the Gulf of Mexico,147,北美,无匹配类别,无匹配标签,America,North America,
the Mississippi River Basin,148,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Tittabawassee River,150,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Mississippi River,156,北美,无匹配类别,无匹配标签,America,North America,
Southern California,174,北美,无匹配类别,无匹配标签,America,North America,
East Coast ContenderWhile,175,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the East Coast,176,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Cuyahoga River,178,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Lake Michigan,186,北美,无匹配类别,无匹配标签,America,North America,
Californias Central Valley,188,北美,无匹配类别,无匹配标签,America,North America,
North Americathe,193,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Flint River,200,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Antiquities Acta,202,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Silicon Valley,203,北美,无匹配类别,无匹配标签,America,North America,
international accordsCalifornia,204,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Oroville Dam,210,北美,无匹配类别,无匹配标签,无匹配标签,North America,
North America Heatwaves,213,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the West Coast,214,北美,无匹配类别,无匹配标签,无匹配标签,North America,
San Franciscothe Bay Area ,218,北美,无匹配类别,无匹配标签,America,North America,
Americas Midwest,221,北美,无匹配类别,无匹配标签,无匹配标签,North America,
East Coast America,222,北美,发达国家,无匹配标签,America,North America,
West Texas,223,北美,无匹配类别,无匹配标签,无匹配标签,North America,
The West Coast,224,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Pacific Northwest city,225,太平洋,无匹配类别,无匹配标签,无匹配标签,North America,
San Francisco Bay Areas,226,北美,无匹配类别,无匹配标签,America,North America,
canyon valley,227,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Northeast,231,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
delta bay,234,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
upland hill,235,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
North Americas Gulf Coast,236,北美,无匹配类别,无匹配标签,无匹配标签,North America,
North Atlantic,238,大西洋,无匹配类别,无匹配标签,无匹配标签,North America,
Mississippi,239,北美,无匹配类别,无匹配标签,America,North America,
Delta,240,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
The North Atlantic,241,大西洋,无匹配类别,无匹配标签,无匹配标签,North America,
LOC_keywords,242,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Suez Canal,244,中东,发展中国家,无匹配标签,Egypt,North America,
the Pacific Coast,245,太平洋,无匹配类别,无匹配标签,无匹配标签,North America,
North America’s,246,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Northwest Territories,247,北美,无匹配类别,无匹配标签,Canada,North America,
Category 5 Atlantic,255,大西洋,无匹配类别,无匹配标签,无匹配标签,North America,
Southeast,256,东南亚,无匹配类别,无匹配标签,无匹配标签,North America,
East Coast,257,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Feather River Canyon,260,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Salinas Valley,263,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Hudson,264,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Ellis Islands,265,北美洲,无匹配类别,无匹配标签,America,North America,
the Gowanus Creek,266,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
New York Harbor,267,北美,发达国家,无匹配标签,America,North America,
Minnesota,270,北美,发达国家,无匹配标签,America,North America,
Key Largo,275,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Key West,276,北美,无匹配类别,无匹配标签,America,North America,
the White River,280,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Winooski River,281,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Lake Champlain,282,北美,无匹配类别,无匹配标签,America,North America,
East Palestine,287,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Western Canada,289,北美,发达国家,Top CO2 Emitters,Canada,North America,
the Boise River,290,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Watts,291,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Hudson River,294,北美,无匹配类别,无匹配标签,America,North America,
the Mojave Desert,295,北美,无匹配类别,无匹配标签,America,North America,
Harlem,296,北美,无匹配类别,无匹配标签,America,North America,
Central Brooklyn,297,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
The Permian Basin,298,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Central Park,299,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Utica Shale,300,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Red River Valley Fair,301,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Red River Valley Fair,302,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
South Florida,303,北美,无匹配类别,无匹配标签,America,North America,
the Lost River,304,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Catskill Mountains,305,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Death Valley National Park,307,北美,无匹配类别,无匹配标签,America,North America,
the Financial District,309,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Silicon Valley’s,310,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Mississippi River,312,北美,无匹配类别,无匹配标签,America,North America,
the Viking Mississippi,313,北美,无匹配类别,无匹配标签,无匹配标签,North America,
The Mississippi River,314,北美,无匹配类别,无匹配标签,America,North America,
Central California,318,北美,发展中国家,无匹配标签,America,North America,
Mount Baldy,319,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
South Texas,323,北美,发展中国家,无匹配标签,America,North America,
the Gulf and Atlantic Coasts,324,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
North Fork Mono,326,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Tule River Tribe,327,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
East Texas,328,北美,无匹配类别,无匹配标签,America,North America,
Cold Lake,333,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Yucatán Peninsula,334,中美洲,发展中国家,无匹配标签,Mexico,North America,
the San Francisco Bay Area,335,北美,无匹配类别,无匹配标签,America,North America,
Central Valley,336,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Bay Area,337,北美,无匹配类别,无匹配标签,America,North America,
the Coast Mountains,343,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Western District of Louisiana,345,北美,无匹配类别,无匹配标签,America,North America,
Lamar Valley,346,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Mountain Valley,347,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Giga America,354,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Pueblo,355,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Upper Midwest,356,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Rapidan Dam,357,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Missouri River,358,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Blue Earth River,359,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Western Washington,362,北美,无匹配类别,无匹配标签,America,North America,
Little Island,365,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Long Island’s,366,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Great South Bay,367,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Gardiners Island,368,北美洲,无匹配类别,无匹配标签,无匹配标签,North America,
the East End of Long Island,369,北美,无匹配类别,无匹配标签,America,North America,
Hudson Bay,371,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Upper Midwest,372,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Ohio River,373,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Mid-Atlantic,377,大西洋,无匹配类别,无匹配标签,无匹配标签,North America,
the Gulf of California,379,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Hudson Bay,380,北美,无匹配类别,无匹配标签,Canada,North America,
Western Hudson Bay,381,北美,无匹配类别,无匹配标签,无匹配标签,North America,
West 47th,382,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Midtown Manhattan,383,北美,发达国家,无匹配标签,America,North America,
Staten Island,384,北美,无匹配类别,无匹配标签,America,North America,
the Upper Gulf,385,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Applegate Valley,387,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Southern Oregon,388,北美,无匹配类别,无匹配标签,America,North America,
Applegate Valley,389,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Callahan Mountains,390,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Maya Train,391,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the South Platte River,404,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Grand Isle,405,北美,无匹配类别,Most Vulnerable to Climate Change,无匹配标签,North America,
the Beaver Lake Cree Nation,406,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Lake Louise,407,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Olympic Village,409,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the South Bronx,410,北美,无匹配类别,无匹配标签,无匹配标签,North America,
The South Bronx,411,北美,发展中国家,无匹配标签,America,North America,
West 43rd Street,412,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Howe Island,413,大洋洲,无匹配类别,无匹配标签,无匹配标签,North America,
the Gulf of St,415,北美洲,无匹配类别,无匹配标签,无匹配标签,North America,
Amherst Island,416,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Sparks,418,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Cuyahoga Valley,420,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Bay Area Air Quality Management District,421,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
San Francisco Bay,422,北美,无匹配类别,无匹配标签,America,North America,
Chimp Haven,423,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Northern Rockies,425,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Beaver Lake Cree Nation,426,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Lake Texcoco,427,无匹配类别,无匹配类别,无匹配标签,Mexico,North America,
Huatulco,428,北美,发展中国家,无匹配标签,无匹配标签,North America,
the Florida Keys,429,北美,无匹配类别,无匹配标签,America,North America,
Antelope Island,430,北美,无匹配类别,无匹配标签,无匹配标签,North America,
South Bronx Unite,434,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
South Bronx,435,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Rockaway Peninsula,437,北美,无匹配类别,无匹配标签,无匹配标签,North America,
East Williamsburg,438,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
the Wild West,440,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the Mountain Valley Pipeline,441,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Devils Hole,442,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Amargosa River,443,北美,无匹配类别,无匹配标签,无匹配标签,North America,
the East Bay Municipal Utility District,444,无匹配类别,无匹配类别,无匹配标签,无匹配标签,North America,
Tampa Bay,446,北美,无匹配类别,无匹配标签,无匹配标签,North America,
Biscayne Bay,447,北美,无匹配类别,无匹配标签,America,North America,
